Πολυκλινική,Αθήνα,2132044000
Παμμακάριστος,Αθήνα,2132042100
Ευαγγελισμός,Αθήνα,2132041000
Η Ελπίς,Αθήνα,2132039000
Γεώργιος Γεννηματάς,Αθήνα,2132032000
Θριάσιο,Μαγούλα,2132028000
Αγία Ελένη - Σπηλιοπούλειο,Αθήνα,2132023400
ΕΚΑ,Καματερό,2132015109
Παίδων Αγία Σοφία,Αθήνα,2132013000
Γενικό Νοσοκομείο Παίδων «Παναγιώτη και Αγλαΐας Κυριακού»,Αθήνα,2132009000
Αμαλία Φλέμινγκ,Μελίσσια,2132003200
Ρέα,Παλαιό Φάληρο,2109495000
Ωνάσειο Καρδιοχειρουργικό Κέντρο,Καλλιθέα,2109493000
414 Στρατιωτικό Νοσοκομείο Ειδικών Νοσημάτων,Πεντέλη,2108106500
Σωτηρία,Αθήνα,2107763100
401 Στρατιωτικό Νοσοκομείο,Αθήνα,2107494000
251 Γενικό Νοσοκομείο Αεροπορίας (ΓΝΑ),Αθήνα,2107463399
Αιγινήτειο,Αθήνα,2107289400
Νοσηλευτικό Ίδρυμα Μετοχικού Ταμείου Στρατού (ΝΙΜΤΣ),Αθήνα,2107288001
Αρεταίειο,Αθήνα,2107286000
Ανδρέας Συγγρός,Αθήνα,2107265100
Ναυτικό Νοσοκομείο Αθηνών (ΝΝΑ),Αθήνα,2107261000
Ευγενίδειο Θεραπευτήριο,Αθήνα,2107208100
Ερρίκος Ντυνάν,Αθήνα,2106972000
Λητώ,Αθήνα,2106902000
Μητέρα,Μαρούσι,2106869000
Υγεία,Μαρούσι,2106867000
Ιασώ Γενική Κλινική (πρώην μαιευτήριο ΗΡΑ),Χολαργός,2106502000
Άγιος Σάββας,Αθήνα,2106409000
Ιατρικό Κέντρο,Μαρούσι,2106198100
Ιασώ,Μαρούσι,2106184000
Αττικό Νοσοκομείο,Χαϊδάρι,2105831000
Ναυτικό Νοσοκομείο Πειραιώς (ΝΝΠ),Πειραιάς,2104583500
'Άγιοι Ανάργυροι,Κηφισιά,2103501500
Αλεξάνδρα,Αθήνα,2103381100
